Page ID,Page Name,Disclaimer,Parti,Link,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder,FTV kandidat
535296963209582,Morten Klitgaard - Nytgribskov,Morten Klitgaard,Andet,https://www.facebook.com/535296963209582,Politiker,Mand,Side,,,
633045860456492,Søren Peder Sørensen,Sørensen Søren Peder Stensgard,Andet,https://www.facebook.com/633045860456492,Politiker,Mand,Side,,,
867412486698276,Tonny Jensen - NytGribskov,Tonny Nalepa Jensen (2692022028),Andet,https://www.facebook.com/867412486698276,Politiker,Mand,Side,,,
102976588593865,"Carsten Ring, lokalpolitiker",Carsten Ring,Andet,https://www.facebook.com/102976588593865,Politiker,Mand,Side,,,
104588595329534,Et Samlet Egedal,JOHAN-BENJAMIN SPENDRUP HAHN,Andet,https://www.facebook.com/104588595329534,Politiker,Mand,Side,,,
104933158383728,"Christian C J Nyholm, Borgmesterkandidat, Solrød kommune",Christian Christopher Juul Nyholm,Andet,https://www.facebook.com/104933158383728,Politiker,Mand,Side,,,
105518721925281,Per Schmidt Jensen - Kandidat for VoresSolrød til KV21,Per Schmidt Jensen,Andet,https://www.facebook.com/105518721925281,Politiker,Mand,Side,,,
105911095190149,Jannik Jensen - Kandidat for VoresSolrød til KV21,Jannik Skriver Jensen,Andet,https://www.facebook.com/105911095190149,Politiker,Mand,Side,,,
109184791491152,Kim Kristensen,Herlevlisten,Andet,https://www.facebook.com/109184791491152,Politiker,Mand,Side,,,
110110801433799,Torben Skernby - byrådskandidat for VoresSolrød,Torben Skernby,Andet,https://www.facebook.com/110110801433799,Politiker,Mand,Side,,,
100659348839221,Johnny Killerup,JohnnyKillerup.com,Andet,https://www.facebook.com/100659348839221,Politiker,Mand,Side,,,
