ID,Side navn,Disclaimer,Brugt i alt,Annoncer i bibliotek,Parti,Partiside eller politiker,Blok,Køn,Profil eller side,Kategori,Partileder,FTV kandidat
102220115710109,Gitte Willumsen,Willumsen Gitte,48024,22,Konservative,Politiker,Blå blok,Kvinde,Side,MF'ere,,FTV kandidat
102417752086942,Oliver Bagge,Oliver Bagge Jensen,200,1,Konservative,Politiker,Blå blok,Mand,Side,,,
102483911679541,Regitze Harslund Sancoeur,Det Konservative Folkeparti,4223,10,Konservative,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
102483911679541,Regitze Harslund Sancoeur,These ads ran without a disclaimer,553,2,Konservative,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
103043358684459,Mikkel Højsleth - Folketingskandidat,Mikkel Højsleth,49274,29,Konservative,Politiker,Blå blok,Mand,Side,,,
103631455646619,Alexander Klitgaard Mikkelsen,Det Konservative Folkeparti,4252,8,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
103631455646619,Alexander Klitgaard Mikkelsen,Alexander Klitgaard Mikkelsen,3395,14,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
103833175171723,"Heidi Boss Nyby, Konservativ Byrådsmedlem, Fredensborg Kommune",Heidi Nyby,180,1,Konservative,Politiker,Blå blok,Kvinde,Side,,,
103992398981480,Annette Juhler Kjær,Annette Juhler Kjær,13228,31,Konservative,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
104021498923147,John Hoppe Folketingskandidat Det Konservative Folkeparti,John Hoppe,9408,9,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
104096141525428,Anne Fiber - Det Konservative Folkeparti,Anne Katrine Berg Fiber,1027,14,Konservative,Politiker,Blå blok,Kvinde,Side,,,
104474062226754,Lene Burchardt,Lene Jensen,3722,32,Konservative,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
104597271851169,Birgitte Klippert,Birgitte Klippert,33136,34,Konservative,Politiker,Blå blok,Kvinde,Side,,,
104754988834397,Jakob Axel Nielsen,Det Konservative Folkeparti i Aalborg,49287,39,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
104855648907404,Klaus Nyengaard,Klaus Randel Nyengaard,50401,84,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
104868678588895,Rikke Norlyk i Folketinget for Syd- og Sønderjylland,Rikke La Cour Norlyk Holm Nielsen,13760,39,Konservative,Politiker,Blå blok,Kvinde,Side,,,
