Page ID,Page name,Disclaimer,Parti,Amount spent (DKK),Number of ads in Library,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder,FTV kandidat,Day,Blok
103276942425086,Lars Høyer Holmqvist - Folketingskandidat Liberal Alliance,Lars Hoyer Holmqvist,Liberal Alliance,101,4,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
105652505550626,Steffen W. Frølund,Steffen W. Frølund,Liberal Alliance,391,11,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
1638487316462005,Kim Bjoernstrup,Kim Bjoernstrup,Liberal Alliance,526,9,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
103493782327951,Tobias Grotkjær Elmstrøm,Tobias Grotkjær Elmstrøm,Moderaterne,728,9,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
609268912419577,Jeppe Søe,Søe Jeppe,Moderaterne,128,2,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
113158773469624,Pernille Vermund,Nye Borgerlige,Nye Borgerlige,265,31,Politiker,Kvinde,Side,MF'ere,Partileder,FTV kandidat,20221002,Blå blok
398454550257699,Lars Boje Mathiesen,Nye Borgerlige,Nye Borgerlige,836,34,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Blå blok
533374726861312,Kim Edberg Andersen,Nye Borgerlige,Nye Borgerlige,269,34,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
718327901589937,Mette Thiesen,Nye Borgerlige,Nye Borgerlige,320,38,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221002,Blå blok
1104790642968068,Peter Seier Christensen,Nye Borgerlige,Nye Borgerlige,322,26,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Blå blok
110201045154,Hovedstadens Radikale Venstre,Hovedstadens Radikale Venstre,Radikale Venstre,252,2,Partiside,Partiside,Side,,,,20221002,Rød blok
100297329347407,Peter Zinckernagel,Peter Zinckernagel,Radikale Venstre,344,3,Politiker,Mand,Side,,,FTV kandidat,20221002,Rød blok
101564562484880,Steffen Helledie,Steffen Holme Helledie,Radikale Venstre,157,9,Politiker,Mand,Side,,,FTV kandidat,20221002,Rød blok
113588132144811,Ruben Kidde,Ruben Kidde,Radikale Venstre,205,1,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Rød blok
116643481027130,Brian Køster - Radikale Venstre,Brian Køster,Radikale Venstre,148,6,Politiker,Mand,Side,,,FTV kandidat,20221002,Rød blok
132364993978468,Andreas Steenberg,Andreas Steenberg,Radikale Venstre,1026,19,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Rød blok
348713338478849,Samira Nawa,Samira Nawa,Radikale Venstre,104,4,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221002,Rød blok
447217575331947,Martin Lidegaard,Martin Lidegaard,Radikale Venstre,128,3,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Rød blok
1377441749244487,Rasmus Helveg Petersen,Rasmus Helveg Petersen,Radikale Venstre,104,1,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Rød blok
41459763029,Socialdemokratiet,Socialdemokratiet,Socialdemokratiet,5540,15,Partiside,Partiside,Side,Nationalt parti,,,20221002,Rød blok
102514162425194,Frederik Vad,Nielsen Frederik Vad,Socialdemokratiet,127,1,Politiker,Mand,Side,,,FTV kandidat,20221002,Rød blok
104051241982782,Fie Hækkerup,Fie Thorsted Hækkerup,Socialdemokratiet,253,9,Politiker,Kvinde,Side,,,,20221002,Rød blok
107577065102777,Anna Thusgård,Anna Thusgård Rørstrøm,Socialdemokratiet,225,3,Politiker,Mand,Side,,,FTV kandidat,20221002,Rød blok
148326242368088,Lars Gaardhøj,Socialdemokratiet Region Hovedstaden,Socialdemokratiet,122,1,Politiker,Mand,Side,,,,20221002,Rød blok
270431402967189,Benny Engelbrecht,Engelbrecht Benny,Socialdemokratiet,573,19,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Rød blok
526620377500921,Peter Hummelgaard,Peter Hummelgaard,Socialdemokratiet,212,1,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Rød blok
1336984893024301,Iben Sønderup i Folketinget,Sønderup Iben,Socialdemokratiet,245,1,Politiker,Kvinde,Side,,,FTV kandidat,20221002,Rød blok
1396459723941912,Christian Rabjerg Madsen,Madsen Christian Rabjerg,Socialdemokratiet,210,14,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Rød blok
30196574028,Serdal Benli,Serdal Benli,Socialistisk Folkeparti,248,3,Politiker,Mand,Side,,,FTV kandidat,20221002,Rød blok
69985338410,Jacob Mark,SF,Socialistisk Folkeparti,618,2,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Rød blok
